Current Unix Time (s),Milliseconds (ms),ADCS State,Attitude Estimation Mode,Control Mode,CubeControl Signal Enabled,CubeControl Motor Enabled,CubeSense Enabled,GPS Receiver Enabled,GPS LNA Power Enabled,Motor Driver Enabled,Magnetometer Deployment Enabled,Configuration Load Error,Orbit Parameters Load Error,CubeSense Communications Error,CubeControl Signal Communications Error,CubeControl Motor Communications Error,CubeSense Node Identification Error,CubeControl Signal Identification Error,CubeControl Motor Identification Error,Magnetometer Deployment Power Error,1s Control Loop Time Exceeded,Magnetometer Range Error,Sun Sensor Overcurrent Detected,Sun Sensor Busy Error,Sun Sensor Detection Error,Wheel Control Error,Nadir Sensor Overcurrent Detected,Nadir Sensor Busy Error,Nadir Sensor Detection Error,Estimation Error,Rate Sensor Range Error,Wheel Speed Range Error,Coarse Sun Sensor Error,Orbit Parameters are Invalid,Configuration is Invalid,Control Mode Change is not allowed,Estimator Change is not allowed,Modelled and measured magnetic field differs in size,SRAM Latch-up Error,SD Card Error,Node Recovery Error,Steady-State Y-Thomson detected,TRIAD and EKF reports same attitude,Sun is Above Local Horizon,Estimated Roll Angle (deg),Estimated Pitch Angle (deg),Estimated Yaw Angle (deg),Estimated X Anglular Rate (deg/s),Estimated Y Anglular Rate (deg/s),Estimated Z Anglular Rate (deg/s),Magnetic Field X (nT),Magnetic Field X (nT),Magnetic Field X (nT),Coarse Sun X,Coarse Sun Y,Coarse Sun Z,X Angular Rate (deg/s),Y Angular Rate (deg/s),Z Angular Rate (deg/s),CSS1,CSS2,CSS3,CSS4,CSS5,CSS6,MagX,MagY,MagZ,
1501306951,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-116.64,0,3.13,2.43,1.61,-26150,-14500,-32970,-0.816925048828125,0.567901611328125,0.1004638671875,0,0.55,0,4,11,4,65,93,101,-15205,14761,9814,
1501306952,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-116.48,0,3.25,2.44,1.86,-25840,-14920,-33050,-0.821685791015625,0.5631103515625,0.087646484375,0,0.55,0,4,10,4,64,93,101,-15243,14629,10017,
1501306953,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-116.3,0,3.35,2.47,2.07,-25580,-15290,-33090,-0.828155517578125,0.557952880859375,0.052703857421875,0,0.55,0,4,6,4,63,94,101,-15264,14517,10190,
1501306954,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-116.09,0,3.43,2.5,2.23,-25280,-15640,-33130,-0.833221435546875,0.551788330078125,-0.03515625,0,0.55,0,4,3,4,62,94,102,-15283,14390,10358,
1501306955,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-115.86,0,3.48,2.55,2.36,-25020,-15940,-33230,-0.835906982421875,0.5477294921875,-0.035186767578125,0,0.56,0,4,3,4,62,95,102,-15330,14284,10505,
1501306956,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-115.62,0,3.53,2.6,2.47,-24730,-16210,-33260,-0.839569091796875,0.542083740234375,-0.035247802734375,0,0.56,0,4,3,4,61,95,103,-15343,14157,10631,
1501306957,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-115.34,0,3.53,2.66,2.56,-24440,-16410,-33370,-0.8427734375,0.53692626953125,-0.037384033203125,0,0.55,0,4,3,4,61,95,103,-15394,14037,10730,
1501306958,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-115.04,0,3.53,2.74,2.64,-24160,-16570,-33490,-0.846405029296875,0.53118896484375,-0.037445068359375,0,0.55,0,4,3,4,60,96,103,-15443,13919,10807,
1501306959,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-114.71,0,3.51,2.8,2.7,-23890,-16720,-33680,-0.8489990234375,0.52703857421875,-0.0374755859375,0,0.55,0,4,3,4,59,96,104,-15525,13807,10882,
1501306960,531,Enabled,MagRatePitch,None,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,-114.36,0,3.48,2.87,2.75,-23620,-16810,-33850,-0.8521728515625,0.521881103515625,-0.03741455078125,0,0.55,0,4,3,4,59,96,104,-15599,13691,10927,
